timestamp,frame_idx,proc_time_ms,fps_instantaneo
1770645970.03197,0,585.56,1.71
1770645971.0307484,30,32.32,30.94
1770645972.0344462,60,36.02,27.76
1770645973.034445,90,31.69,31.55
1770645974.0345798,120,32.15,31.10
1770645975.038859,150,36.47,27.42
1770645976.0385,180,32.03,31.22
1770645977.039015,210,32.15,31.11
1770645978.0425901,240,36.10,27.70
1770645979.0425222,270,31.98,31.27
1770645980.0425735,300,32.15,31.10
1770645981.0466745,330,36.21,27.62
1770645982.0466263,360,32.06,31.19
1770645983.0466034,390,32.08,31.17
1770645984.0505612,420,36.15,27.66
1770645985.0509481,450,31.97,31.28
1770645986.050473,480,32.03,31.22
1770645987.0546284,510,36.09,27.71
1770645988.0546057,540,32.16,31.09
1770645989.0546503,570,32.06,31.20
1770645990.058507,600,36.09,27.71
1770645991.0587587,630,31.63,31.61
1770645992.0584671,660,31.86,31.39
1770645993.0626175,690,36.06,27.73
1770645994.0625322,720,32.09,31.16
1770645995.0624568,750,31.51,31.74
1770645996.0665932,780,35.94,27.82
1770645997.0665221,810,31.68,31.57
1770645998.066765,840,32.00,31.25
1770645999.0704792,870,36.01,27.77
1770646000.0709882,900,31.46,31.78
1770646001.0706594,930,32.11,31.14
1770646002.074802,960,36.35,27.51
1770646003.0746741,990,32.00,31.25
1770646004.075361,1020,32.76,30.52
1770646005.0786998,1050,36.07,27.73
1770646006.078824,1080,32.23,31.02
1770646007.0790443,1110,31.98,31.27
1770646008.082524,1140,35.90,27.85
1770646009.0826602,1170,32.03,31.22
1770646010.082463,1200,31.95,31.29
1770646011.086754,1230,35.64,28.06
1770646012.0865602,1260,31.68,31.56
1770646013.08653,1290,31.71,31.54
1770646014.0906708,1320,36.27,27.57
1770646015.0907445,1350,31.84,31.41
1770646016.0905936,1380,32.18,31.08
1770646017.0946436,1410,36.26,27.58
1770646018.0950322,1440,32.35,30.91
1770646019.0947564,1470,32.36,30.90
1770646020.0984912,1500,36.04,27.74
1770646021.0984285,1530,31.83,31.42
1770646022.0984993,1560,31.96,31.29
1770646023.1027677,1590,35.84,27.90
1770646024.1026452,1620,32.05,31.21
1770646025.1027153,1650,32.02,31.23
1770646026.1064637,1680,36.03,27.75
1770646027.106491,1710,31.35,31.90
1770646028.1065252,1740,31.97,31.28
1770646029.1104927,1770,36.06,27.73
1770646030.110499,1800,31.69,31.55
1770646031.1104977,1830,31.50,31.75
1770646032.1145544,1860,35.83,27.91
1770646033.1145186,1890,32.10,31.15
1770646034.1145942,1920,32.16,31.09
1770646035.1189525,1950,36.15,27.66
1770646036.1185682,1980,31.88,31.37
1770646037.1226215,2010,35.89,27.86
1770646038.1225965,2040,32.20,31.05
1770646039.1224453,2070,32.06,31.19
1770646040.1265135,2100,36.08,27.72
1770646041.126469,2130,32.01,31.24
1770646042.1265311,2160,32.06,31.19
1770646043.130489,2190,36.05,27.74
1770646044.1305013,2220,32.04,31.21
1770646045.1304586,2250,31.96,31.29
1770646046.134531,2280,35.90,27.85
1770646047.1345534,2310,31.90,31.35
1770646048.1346214,2340,31.48,31.77
1770646049.138519,2370,35.86,27.89
1770646050.138479,2400,31.38,31.87
1770646051.138457,2430,32.00,31.25
1770646052.1425755,2460,36.20,27.63
1770646053.9105177,2490,35.60,28.09
1770646054.9104853,2520,32.06,31.19
1770646055.9144475,2550,35.76,27.96
1770646056.9145687,2580,36.17,27.64
1770646057.9145901,2610,31.77,31.48
1770646058.9186032,2640,36.07,27.73
1770646059.9185944,2670,31.80,31.45
1770646060.9185877,2700,32.14,31.11
1770646061.922576,2730,36.06,27.73
1770646062.922715,2760,32.13,31.13
1770646063.9224188,2790,31.95,31.30
1770646064.9266005,2820,36.19,27.63
