timestamp,frame_idx,proc_time_ms,fps_instantaneo
1770646186.9720302,0,585.53,1.71
1770646187.970429,30,31.98,31.27
1770646188.974601,60,36.15,27.66
1770646189.9746447,90,32.10,31.15
1770646190.974561,120,32.07,31.18
1770646191.9788702,150,35.92,27.84
1770646192.9785073,180,32.06,31.20
1770646193.9784484,210,32.02,31.23
1770646194.9826188,240,36.24,27.59
1770646195.9825387,270,32.09,31.16
1770646196.982596,300,32.09,31.17
1770646197.9865396,330,36.14,27.67
1770646198.986574,360,32.16,31.10
1770646199.986697,390,31.41,31.84
1770646200.9906156,420,36.09,27.71
1770646201.9907246,450,32.02,31.23
1770646202.9906669,480,31.56,31.68
1770646203.9945207,510,36.12,27.69
1770646204.994723,540,32.05,31.20
1770646205.994568,570,32.12,31.13
1770646206.9985325,600,36.13,27.68
1770646207.9985585,630,32.08,31.17
1770646208.9985597,660,32.07,31.18
1770646210.0025904,690,35.85,27.89
1770646211.0025826,720,32.02,31.23
1770646212.0024889,750,32.04,31.21
1770646213.006631,780,35.55,28.13
1770646214.0065925,810,32.06,31.19
1770646215.0065148,840,31.97,31.28
1770646216.010726,870,36.11,27.69
1770646217.010475,900,32.00,31.25
1770646218.010455,930,32.01,31.24
1770646219.0150847,960,36.68,27.27
1770646220.014547,990,32.13,31.12
1770646221.0149198,1020,32.30,30.96
1770646222.0185037,1050,36.05,27.74
1770646223.0193684,1080,32.92,30.37
1770646224.0184124,1110,31.82,31.43
1770646225.0226045,1140,36.20,27.63
1770646226.0226107,1170,31.96,31.29
1770646227.0226786,1200,32.19,31.06
1770646228.026508,1230,36.13,27.68
1770646229.0265298,1260,32.09,31.16
1770646230.0270846,1290,31.81,31.44
1770646231.0305166,1320,36.03,27.76
1770646232.0307128,1350,32.14,31.11
1770646233.0307026,1380,31.93,31.31
1770646234.0345511,1410,36.15,27.67
1770646235.0345738,1440,31.89,31.36
1770646236.034453,1470,31.98,31.27
1770646237.0386164,1500,36.10,27.70
1770646238.0393567,1530,32.19,31.06
1770646239.038678,1560,32.16,31.09
1770646240.0427394,1590,36.14,27.67
1770646241.0428977,1620,32.45,30.82
1770646242.0425694,1650,32.09,31.16
1770646243.0466857,1680,36.07,27.72
1770646244.0464737,1710,32.06,31.19
1770646245.0466356,1740,32.15,31.11
1770646246.0504766,1770,36.04,27.75
1770646247.0507321,1800,32.27,30.99
1770646248.0505967,1830,31.98,31.27
1770646249.0551329,1860,35.91,27.85
1770646250.0551314,1890,32.38,30.88
1770646251.0545254,1920,32.03,31.22
1770646252.0584588,1950,36.06,27.73
1770646253.0587888,1980,32.00,31.25
1770646254.0584328,2010,31.88,31.37
1770646255.062645,2040,35.39,28.26
1770646256.0624766,2070,31.89,31.36
1770646257.0625145,2100,31.92,31.32
1770646258.0667422,2130,36.11,27.69
1770646259.066469,2160,31.91,31.34
1770646260.0710318,2190,36.28,27.57
1770646261.070718,2220,35.91,27.85
1770646262.0704813,2250,31.77,31.47
1770646263.07441,2280,35.85,27.90
1770646264.074625,2310,36.06,27.73
1770646265.0746033,2340,32.16,31.10
1770646266.0785296,2370,35.73,27.98
1770646267.0785902,2400,32.12,31.13
1770646268.0784464,2430,32.01,31.24
1770646269.0825212,2460,36.07,27.73
1770646270.0827057,2490,32.13,31.12
1770646271.0825253,2520,31.92,31.33
1770646272.086474,2550,36.15,27.66
1770646273.0866814,2580,32.22,31.04
1770646274.0866766,2610,31.76,31.49
1770646275.0906458,2640,36.01,27.77
1770646276.0904803,2670,31.98,31.27
1770646277.0905447,2700,32.05,31.20
1770646278.0946836,2730,36.27,27.57
1770646279.0944564,2760,31.97,31.28
1770646280.094382,2790,31.88,31.36
1770646281.0986454,2820,36.23,27.60
1770646282.0985029,2850,32.06,31.19
1770646283.0984225,2880,31.73,31.52
1770646284.1026886,2910,35.93,27.83
1770646285.1031103,2940,32.25,31.00
1770646286.1029181,2970,32.02,31.23
1770646287.1067078,3000,35.98,27.79
1770646288.106494,3030,31.88,31.36
1770646289.1068347,3060,31.78,31.47
1770646290.1106415,3090,36.12,27.69
1770646291.1104753,3120,32.02,31.23
1770646292.1106079,3150,32.13,31.13
1770646293.1145937,3180,36.16,27.66
1770646294.1145678,3210,32.15,31.11
1770646295.114372,3240,31.93,31.31
1770646296.1186483,3270,35.95,27.82
1770646297.1184957,3300,31.63,31.61
1770646298.1186097,3330,31.99,31.26
1770646299.1224844,3360,36.06,27.73
1770646300.1224906,3390,31.94,31.31
1770646301.1225646,3420,32.13,31.13
1770646302.126626,3450,36.09,27.71
1770646303.1264648,3480,31.99,31.26
1770646304.126631,3510,32.03,31.22
1770646305.1306834,3540,36.29,27.55
1770646306.13065,3570,32.17,31.09
1770646307.1305792,3600,32.01,31.24
1770646308.1345026,3630,35.77,27.96
1770646309.134506,3660,31.76,31.48
1770646310.1344714,3690,31.99,31.26
1770646311.138472,3720,36.08,27.72
1770646312.138513,3750,32.00,31.25
1770646313.1384146,3780,31.98,31.27
1770646314.1424866,3810,36.05,27.74
1770646315.142493,3840,31.89,31.36
1770646316.1424618,3870,31.86,31.39
1770646317.1470068,3900,36.17,27.65
1770646318.1466713,3930,31.96,31.29
1770646319.146628,3960,32.09,31.16
1770646320.1505466,3990,35.91,27.85
1770646321.1505158,4020,31.95,31.30
1770646322.1506767,4050,31.75,31.50
1770646323.154458,4080,36.04,27.74
1770646324.154613,4110,32.13,31.12
1770646325.154501,4140,32.05,31.20
1770646326.1584725,4170,36.03,27.75
1770646327.1587064,4200,32.31,30.95
1770646328.158555,4230,32.15,31.11
1770646329.162537,4260,35.96,27.81
1770646330.1624916,4290,32.08,31.17
1770646331.162475,4320,31.89,31.36
1770646332.1664586,4350,36.03,27.76
1770646333.166528,4380,32.13,31.12
1770646334.1664298,4410,32.01,31.24
1770646335.1704817,4440,35.88,27.87
1770646336.1705835,4470,32.00,31.25
1770646337.170609,4500,32.18,31.08
1770646338.1751375,4530,36.56,27.35
1770646339.174584,4560,32.12,31.13
1770646340.1748304,4590,32.45,30.82
1770646341.1786633,4620,36.26,27.58
1770646342.1786022,4650,31.95,31.30
1770646343.178505,4680,32.08,31.17
1770646344.1826231,4710,35.98,27.79
1770646345.1826708,4740,32.13,31.13
1770646346.1825707,4770,32.04,31.21
1770646347.1872706,4800,36.37,27.50
1770646348.1865003,4830,31.74,31.51
1770646349.1865122,4860,32.05,31.20
1770646350.1905012,4890,36.13,27.68
1770646351.190496,4920,32.07,31.18
1770646352.1904984,4950,31.98,31.27
1770646353.8946254,4980,32.16,31.09
1770646354.8946102,5010,31.90,31.34
1770646355.8991628,5040,36.53,27.37
1770646356.8987577,5070,31.76,31.49
1770646357.8984334,5100,31.99,31.26
1770646358.9026382,5130,36.30,27.55
1770646359.902451,5160,32.03,31.22
1770646360.902441,5190,31.99,31.26
1770646361.906507,5220,35.98,27.79
1770646362.9074712,5250,32.49,30.78
1770646363.906664,5280,31.94,31.31
1770646364.9104948,5310,35.51,28.16
1770646365.9105027,5340,31.75,31.50
1770646366.9106662,5370,31.98,31.27
1770646367.9144416,5400,35.98,27.79
1770646368.914589,5430,31.77,31.48
1770646369.914704,5460,32.25,31.01
1770646370.9188693,5490,35.96,27.81
1770646371.918737,5520,31.89,31.36
1770646372.9184668,5550,31.70,31.54
1770646373.922515,5580,36.14,27.67
1770646374.9228017,5610,32.01,31.24
1770646375.9224818,5640,32.03,31.22
1770646376.9268675,5670,36.43,27.45
1770646377.9266176,5700,31.98,31.27
1770646378.926435,5730,31.96,31.29
1770646379.9306414,5760,35.84,27.90
1770646380.9304903,5790,31.94,31.31
1770646381.93459,5820,35.89,27.86
1770646382.9344964,5850,35.72,27.99
1770646383.9345505,5880,32.08,31.17
1770646384.9384487,5910,35.98,27.80
1770646385.9387918,5940,32.19,31.07
1770646386.9384615,5970,31.98,31.27
1770646387.9426165,6000,36.20,27.62
1770646388.9430788,6030,32.47,30.80
1770646389.942521,6060,31.83,31.42
1770646390.9465432,6090,36.09,27.71
1770646391.9464915,6120,31.93,31.32
1770646392.9464712,6150,31.90,31.35
1770646393.9504926,6180,36.11,27.69
1770646394.9506624,6210,32.19,31.06
1770646395.950599,6240,32.05,31.20
1770646396.9544747,6270,35.84,27.90
1770646397.9545977,6300,32.14,31.11
1770646398.9544802,6330,32.02,31.23
1770646399.9585123,6360,35.91,27.85
1770646400.9592013,6390,32.54,30.73
1770646401.9584844,6420,32.04,31.21
1770646402.962574,6450,36.13,27.68
1770646403.9625514,6480,31.88,31.37
1770646404.9624362,6510,32.00,31.25
1770646405.9666927,6540,35.98,27.79
1770646406.966867,6570,32.40,30.87
1770646407.966477,6600,31.99,31.26
1770646408.9705448,6630,35.94,27.82
1770646409.9706435,6660,32.16,31.09
1770646410.9706094,6690,31.86,31.39
1770646411.9749832,6720,35.68,28.03
1770646412.9745424,6750,31.89,31.36
1770646413.974496,6780,31.91,31.34
1770646414.978513,6810,36.06,27.73
1770646415.9784477,6840,31.53,31.72
1770646416.9785118,6870,32.01,31.24
1770646417.982587,6900,35.99,27.79
1770646418.9824977,6930,31.88,31.37
1770646419.982742,6960,32.15,31.11
1770646420.9866037,6990,36.17,27.65
1770646421.9866352,7020,31.84,31.41
1770646422.986476,7050,31.86,31.39
1770646423.9908664,7080,36.45,27.44
1770646424.9912164,7110,32.15,31.11
