timestamp,frame_idx,proc_time_ms,fps_instantaneo
1770647180.459894,0,585.83,1.71
1770647181.458187,30,32.01,31.24
1770647182.4627204,60,36.41,27.46
1770647183.4620647,90,31.47,31.77
1770647184.4622672,120,31.89,31.36
1770647185.4667978,150,36.55,27.36
1770647186.4666913,180,32.13,31.12
1770647187.466066,210,31.65,31.59
1770647188.4700751,240,35.88,27.87
1770647189.4707057,270,32.14,31.11
1770647190.4700658,300,31.88,31.36
1770647191.474088,330,36.01,27.77
1770647192.4741132,360,31.93,31.32
1770647193.4740374,390,31.81,31.43
1770647194.4782531,420,35.68,28.03
1770647195.4784334,450,32.19,31.06
1770647196.478204,480,31.95,31.30
1770647197.4820561,510,35.94,27.82
1770647198.4821436,540,31.89,31.36
1770647199.48237,570,32.21,31.04
1770647200.48646,600,35.86,27.89
1770647201.4861937,630,31.46,31.79
1770647202.4860802,660,31.95,31.30
1770647203.4901447,690,35.55,28.13
1770647204.4901013,720,31.96,31.29
1770647205.4900393,750,31.91,31.34
1770647206.4945657,780,36.19,27.64
1770647207.4943774,810,32.04,31.21
1770647208.4940615,840,31.93,31.32
1770647209.498477,870,36.36,27.50
1770647210.498131,900,31.96,31.29
1770647211.4981117,930,31.86,31.38
1770647212.502261,960,36.15,27.66
1770647213.50214,990,31.60,31.65
1770647214.5022275,1020,31.72,31.53
1770647215.5064986,1050,36.25,27.59
1770647216.5061324,1080,31.91,31.34
1770647217.5061097,1110,31.97,31.28
1770647218.510502,1140,35.93,27.83
1770647219.5105243,1170,32.11,31.15
1770647220.510171,1200,31.93,31.31
1770647221.514107,1230,35.94,27.82
1770647222.5143788,1260,32.25,31.01
1770647223.9181874,1290,35.63,28.07
1770647224.9180722,1320,35.74,27.98
1770647225.9181612,1350,31.98,31.27
1770647226.9222002,1380,36.03,27.75
1770647227.9221747,1410,31.86,31.38
1770647228.9221458,1440,31.94,31.31
1770647229.9261045,1470,35.89,27.86
1770647230.9260695,1500,31.76,31.48
1770647231.9261584,1530,31.91,31.34
1770647232.930158,1560,36.04,27.75
1770647233.930075,1590,31.92,31.33
1770647234.930118,1620,31.94,31.31
1770647235.9341524,1650,36.00,27.78
1770647236.9341362,1680,31.83,31.42
1770647237.9341106,1710,31.93,31.31
1770647238.938123,1740,35.85,27.90
1770647239.9381604,1770,31.94,31.31
1770647240.9381135,1800,31.90,31.35
1770647241.942099,1830,35.94,27.82
1770647242.942158,1860,31.97,31.28
1770647243.9421484,1890,31.79,31.45
1770647244.9462876,1920,36.12,27.68
1770647245.946361,1950,32.14,31.11
1770647246.9464629,1980,32.15,31.10
1770647247.95013,2010,35.91,27.85
1770647248.9502761,2040,31.99,31.26
1770647249.950095,2070,31.95,31.30
1770647250.9541965,2100,36.04,27.74
1770647251.9543808,2130,32.03,31.22
1770647252.9541419,2160,31.94,31.31
1770647253.9581144,2190,35.91,27.84
1770647254.9581697,2220,31.91,31.34
1770647255.958078,2250,31.81,31.44
1770647256.9623272,2280,35.93,27.83
1770647257.962392,2310,32.15,31.10
1770647258.962045,2340,31.86,31.39
1770647259.9661825,2370,35.46,28.20
1770647260.966533,2400,31.90,31.34
1770647261.9660752,2430,31.91,31.34
1770647262.9701083,2460,35.93,27.83
1770647263.9708316,2490,32.21,31.04
1770647264.9700577,2520,31.85,31.40
1770647265.9741666,2550,35.84,27.90
1770647266.974126,2580,31.91,31.33
1770647267.9740915,2610,31.89,31.36
1770647268.9781187,2640,35.84,27.90
1770647269.9781291,2670,31.59,31.66
1770647270.9780586,2700,31.88,31.36
1770647271.9821312,2730,35.83,27.91
1770647272.9826212,2760,31.77,31.48
1770647273.982312,2790,32.13,31.13
1770647274.9861703,2820,35.45,28.21
1770647275.98612,2850,31.85,31.40
1770647276.9861796,2880,31.93,31.32
1770647277.9901102,2910,35.94,27.82
1770647278.990534,2940,31.97,31.28
1770647279.9900708,2970,31.89,31.35
1770647280.9941816,3000,36.02,27.76
1770647281.994188,3030,31.89,31.35
1770647282.994227,3060,32.06,31.19
1770647283.99843,3090,36.27,27.57
1770647284.9981165,3120,31.91,31.33
1770647285.9980562,3150,31.68,31.57
1770647287.0021443,3180,36.02,27.76
1770647288.002213,3210,31.90,31.35
1770647289.0026457,3240,31.96,31.29
1770647290.0062604,3270,36.16,27.66
1770647291.0066283,3300,32.03,31.22
1770647292.0060976,3330,31.76,31.49
1770647293.0106573,3360,36.16,27.65
1770647294.0100837,3390,31.73,31.51
1770647295.0105774,3420,31.89,31.36
1770647296.0140896,3450,35.31,28.32
1770647297.0142715,3480,32.12,31.13
1770647298.0140553,3510,31.82,31.43
1770647299.0187736,3540,36.08,27.71
1770647300.018079,3570,31.91,31.34
1770647301.0182536,3600,31.97,31.28
1770647302.0221987,3630,35.98,27.79
