seq,rtt_ms,inter_arrival_ms,timestamp
0,55.120,0.000,1770976222.202626
1,63.683,67.599,1770976222.270225
2,57.180,60.708,1770976222.330933
3,58.175,60.194,1770976222.391127
4,53.361,55.749,1770976222.446877
5,56.311,58.405,1770976222.505281
6,54.544,56.865,1770976222.562147
7,54.740,57.059,1770976222.619205
8,57.775,60.075,1770976222.679280
9,50.576,52.978,1770976222.732258
10,56.534,58.877,1770976222.791134
11,52.691,54.761,1770976222.845896
12,55.557,57.371,1770976222.903267
13,53.560,55.962,1770976222.959228
14,49.740,52.175,1770976223.011403
15,56.980,59.317,1770976223.070720
16,53.445,55.180,1770976223.125900
17,54.476,56.310,1770976223.182210
18,54.727,56.993,1770976223.239203
19,58.609,60.963,1770976223.300167
20,57.721,59.988,1770976223.360155
21,52.716,55.065,1770976223.415220
22,56.721,59.016,1770976223.474236
23,58.700,60.921,1770976223.535158
24,52.816,55.098,1770976223.590256
25,53.385,55.669,1770976223.645925
26,54.039,55.973,1770976223.701898
27,55.361,57.174,1770976223.759072
28,53.031,55.078,1770976223.814149
29,59.649,62.024,1770976223.876174
30,57.795,60.081,1770976223.936255
31,75.626,77.957,1770976224.014212
32,52.512,55.998,1770976224.070210
33,49.650,51.992,1770976224.122202
34,53.807,56.098,1770976224.178299
35,53.168,55.799,1770976224.234099
36,54.926,56.915,1770976224.291014
37,69.256,71.158,1770976224.362172
38,54.608,58.039,1770976224.420211
39,57.728,60.052,1770976224.480264
40,53.769,58.998,1770976224.539262
41,54.716,62.948,1770976224.602210
42,56.931,65.010,1770976224.667220
43,55.616,63.926,1770976224.731146
44,56.523,59.216,1770976224.790363
45,49.563,52.728,1770976224.843091
46,48.695,50.787,1770976224.893878
47,54.272,56.128,1770976224.950006
48,51.002,53.012,1770976225.003018
49,70.203,72.224,1770976225.075242
50,55.418,58.947,1770976225.134189
51,53.370,56.020,1770976225.190209
52,49.656,51.968,1770976225.242178
53,75.776,78.037,1770976225.320215
54,58.470,61.987,1770976225.382202
55,57.581,59.794,1770976225.441995
56,71.216,72.989,1770976225.514984
57,77.135,80.270,1770976225.595254
58,72.358,75.761,1770976225.671016
59,52.829,56.141,1770976225.727157
60,58.746,61.033,1770976225.788190
61,56.708,59.013,1770976225.847202
62,65.593,67.926,1770976225.915128
63,56.638,60.001,1770976225.975129
64,49.189,51.237,1770976226.026366
65,54.285,56.537,1770976226.082903
66,69.141,71.073,1770976226.153976
67,52.928,56.120,1770976226.210097
68,54.085,56.183,1770976226.266280
69,49.711,51.957,1770976226.318237
70,74.910,76.995,1770976226.395232
71,52.532,55.972,1770976226.451204
72,58.886,61.002,1770976226.512206
73,55.803,57.964,1770976226.570169
74,61.535,63.782,1770976226.633951
75,78.215,81.082,1770976226.715033
76,55.513,58.972,1770976226.774005
77,52.157,54.194,1770976226.828199
78,56.735,59.050,1770976226.887249
79,64.777,67.001,1770976226.954250
80,78.434,81.944,1770976227.036194
81,63.245,66.964,1770976227.103158
82,55.544,59.033,1770976227.162191
83,53.442,55.703,1770976227.217894
84,62.022,63.992,1770976227.281886
85,53.104,56.119,1770976227.338005
86,55.140,57.175,1770976227.395180
87,53.809,56.003,1770976227.451183
88,57.711,60.018,1770976227.511201
89,57.845,60.012,1770976227.571213
90,57.767,59.972,1770976227.631185
91,53.893,56.092,1770976227.687277
92,57.694,60.017,1770976227.747294
93,58.770,60.966,1770976227.808260
94,57.904,59.816,1770976227.868076
95,58.984,60.950,1770976227.929027
96,55.203,57.203,1770976227.986230
97,53.731,55.994,1770976228.042224
98,70.734,72.965,1770976228.115189
99,56.522,60.002,1770976228.175191
100,54.763,57.030,1770976228.232220
101,55.736,58.004,1770976228.290225
102,53.824,55.984,1770976228.346209
103,55.473,57.734,1770976228.403943
104,57.168,59.160,1770976228.463103
105,54.113,56.193,1770976228.519295
106,52.576,54.844,1770976228.574139
107,53.848,56.091,1770976228.630230
108,69.884,72.270,1770976228.702501
109,56.208,59.708,1770976228.762208
110,53.820,56.036,1770976228.818245
111,53.296,55.768,1770976228.874013
112,51.119,53.239,1770976228.927252
113,56.313,58.708,1770976228.985960
114,55.062,57.130,1770976229.043090
115,53.276,55.256,1770976229.098346
116,54.524,56.824,1770976229.155169
117,53.057,55.127,1770976229.210297
118,58.599,60.927,1770976229.271224
119,53.019,55.138,1770976229.326363
120,53.738,55.926,1770976229.382288
121,53.843,55.976,1770976229.438264
122,53.741,55.964,1770976229.494228
123,54.639,56.805,1770976229.551033
124,55.087,57.001,1770976229.608034
125,58.164,60.053,1770976229.668087
126,61.179,63.092,1770976229.731179
127,56.613,60.026,1770976229.791205
128,48.799,51.000,1770976229.842206
129,54.672,57.001,1770976229.899207
130,53.757,55.957,1770976229.955163
131,57.736,60.074,1770976230.015237
132,53.869,56.104,1770976230.071341
133,52.307,54.656,1770976230.125998
134,54.263,56.050,1770976230.182047
135,53.888,56.014,1770976230.238061
136,55.049,56.972,1770976230.295034
137,54.297,56.201,1770976230.351235
138,58.679,60.968,1770976230.412203
139,67.780,70.037,1770976230.482240
140,52.548,56.046,1770976230.538285
141,70.470,72.962,1770976230.611247
142,56.354,59.843,1770976230.671090
143,53.933,55.922,1770976230.727012
144,54.214,56.068,1770976230.783080
145,53.262,55.228,1770976230.838308
146,54.274,56.715,1770976230.895022
147,54.139,56.171,1770976230.951194
148,57.757,60.025,1770976231.011219
149,70.044,72.251,1770976231.083469
150,55.216,58.847,1770976231.142316
