seq,rtt_ms,inter_arrival_ms,timestamp
0,55.068,0.000,1770976424.958880
1,52.493,55.067,1770976425.013947
2,53.552,55.994,1770976425.069942
3,53.686,56.078,1770976425.126020
4,56.640,59.071,1770976425.185091
5,55.233,57.675,1770976425.242765
6,53.206,55.001,1770976425.297767
7,57.113,59.179,1770976425.356946
8,47.650,49.948,1770976425.406895
9,48.613,51.048,1770976425.457943
10,54.756,57.030,1770976425.514973
11,58.374,60.872,1770976425.575845
12,56.167,58.071,1770976425.633915
13,53.620,55.868,1770976425.689783
14,54.300,56.258,1770976425.746042
15,57.572,59.765,1770976425.805807
16,53.165,54.971,1770976425.860777
17,56.353,58.275,1770976425.919052
18,57.558,59.869,1770976425.978921
19,53.516,56.080,1770976426.035000
20,52.623,54.918,1770976426.089919
21,54.712,57.032,1770976426.146950
22,56.776,59.024,1770976426.205975
23,54.809,57.051,1770976426.263026
24,52.608,54.935,1770976426.317961
25,53.547,55.800,1770976426.373760
26,55.135,56.962,1770976426.430722
27,57.313,59.113,1770976426.489835
28,50.014,52.130,1770976426.541965
29,53.877,56.125,1770976426.598090
30,53.564,55.824,1770976426.653914
31,53.881,56.144,1770976426.710058
32,53.727,55.874,1770976426.765932
33,53.831,56.112,1770976426.822044
34,57.524,59.759,1770976426.881803
35,53.197,55.136,1770976426.936939
36,54.565,56.786,1770976426.993725
37,54.327,56.059,1770976427.049783
38,54.179,56.156,1770976427.105939
39,54.794,57.034,1770976427.162973
40,52.756,55.002,1770976427.217975
41,53.746,56.040,1770976427.274015
42,53.727,55.950,1770976427.329966
43,53.709,56.065,1770976427.386030
44,53.838,56.030,1770976427.442060
45,57.614,59.985,1770976427.502046
46,49.346,51.694,1770976427.553740
47,49.852,52.099,1770976427.605839
48,56.114,58.296,1770976427.664135
49,61.952,63.982,1770976427.728117
50,53.556,56.878,1770976427.784995
51,61.034,63.069,1770976427.848064
52,53.667,57.085,1770976427.905150
53,60.630,62.871,1770976427.968021
54,53.612,57.014,1770976428.025034
55,55.888,58.016,1770976428.083050
56,56.447,58.675,1770976428.141725
57,50.491,52.066,1770976428.193791
58,54.483,56.221,1770976428.250011
59,53.837,55.932,1770976428.305943
60,46.999,49.075,1770976428.355018
61,49.574,51.759,1770976428.406777
62,54.458,56.182,1770976428.462959
63,56.890,59.037,1770976428.521996
64,58.599,61.042,1770976428.583038
65,58.811,61.024,1770976428.644062
66,62.641,64.739,1770976428.708801
67,54.036,57.064,1770976428.765865
68,55.802,57.336,1770976428.823201
69,52.721,54.851,1770976428.878052
70,53.866,55.912,1770976428.933965
71,55.848,58.062,1770976428.992027
72,50.900,53.010,1770976429.045037
73,53.966,55.986,1770976429.101022
74,61.084,63.132,1770976429.164155
75,50.273,53.740,1770976429.217895
76,53.235,55.196,1770976429.273090
77,50.584,52.905,1770976429.325996
78,53.293,55.131,1770976429.381127
79,54.944,56.955,1770976429.438082
80,51.679,53.888,1770976429.491970
81,62.031,64.092,1770976429.556062
82,54.742,57.971,1770976429.614034
83,59.100,61.198,1770976429.675232
84,55.836,58.791,1770976429.734023
85,56.680,59.028,1770976429.793051
86,58.164,60.963,1770976429.854013
87,57.769,59.878,1770976429.913892
88,59.473,61.444,1770976429.975336
89,54.965,57.509,1770976430.032845
90,56.242,58.083,1770976430.090928
91,53.799,55.566,1770976430.146494
92,76.357,78.326,1770976430.224820
93,53.752,57.094,1770976430.281914
94,62.254,63.995,1770976430.345909
95,52.797,56.099,1770976430.402008
96,53.218,54.921,1770976430.456929
97,54.837,56.852,1770976430.513781
98,54.724,56.634,1770976430.570415
99,53.566,55.505,1770976430.625919
100,57.855,59.844,1770976430.685763
101,56.578,58.307,1770976430.744070
102,59.879,61.778,1770976430.805848
103,57.210,60.161,1770976430.866009
104,53.630,55.808,1770976430.921817
105,64.570,66.289,1770976430.988106
106,61.866,64.780,1770976431.052886
107,56.627,59.865,1770976431.112751
108,55.837,57.586,1770976431.170337
109,64.732,66.565,1770976431.236902
110,63.864,67.010,1770976431.303913
111,56.070,59.170,1770976431.363083
112,50.832,52.811,1770976431.415893
113,56.289,58.326,1770976431.474219
114,57.420,59.662,1770976431.533881
115,57.215,58.895,1770976431.592777
116,61.421,63.365,1770976431.656142
117,63.611,67.044,1770976431.723186
118,61.197,64.769,1770976431.787956
119,54.948,57.817,1770976431.845773
120,54.344,56.058,1770976431.901831
121,54.121,55.939,1770976431.957771
122,55.424,57.091,1770976432.014861
123,52.095,54.389,1770976432.069251
124,54.351,56.626,1770976432.125877
125,54.620,56.257,1770976432.182134
126,52.871,54.748,1770976432.236882
127,53.228,54.936,1770976432.291818
128,57.327,59.074,1770976432.350892
129,49.384,51.202,1770976432.402094
130,54.176,56.012,1770976432.458106
131,56.030,57.692,1770976432.515797
132,57.750,59.316,1770976432.575113
133,52.974,54.724,1770976432.629837
134,54.336,56.056,1770976432.685894
135,53.945,55.949,1770976432.741843
136,52.393,54.269,1770976432.796111
137,56.211,57.994,1770976432.854105
138,54.019,55.833,1770976432.909938
139,53.971,55.903,1770976432.965842
140,55.934,57.657,1770976433.023499
141,55.217,57.214,1770976433.080713
142,50.480,52.092,1770976433.132805
143,51.395,53.090,1770976433.185894
144,56.946,58.947,1770976433.244842
145,54.235,56.022,1770976433.300864
146,56.313,58.030,1770976433.358894
147,53.222,55.217,1770976433.414111
148,57.669,59.735,1770976433.473846
149,59.345,61.002,1770976433.534848
150,53.374,55.045,1770976433.589892
151,54.144,55.916,1770976433.645808
152,56.457,58.183,1770976433.703992
153,55.931,58.175,1770976433.762167
154,57.514,59.633,1770976433.821800
155,54.312,56.036,1770976433.877835
156,54.456,56.025,1770976433.933860
157,58.466,60.079,1770976433.993939
158,54.654,56.478,1770976434.050417
159,54.402,56.319,1770976434.106736
160,53.477,55.157,1770976434.161893
161,51.067,52.962,1770976434.214855
162,52.119,53.895,1770976434.268750
163,61.368,63.161,1770976434.331912
164,65.736,69.006,1770976434.400917
165,53.880,56.839,1770976434.457757
166,56.504,58.179,1770976434.515935
167,56.020,57.793,1770976434.573729
168,58.496,60.180,1770976434.633909
169,55.264,57.209,1770976434.691118
170,53.940,55.790,1770976434.746908
171,57.105,59.015,1770976434.805923
172,54.854,56.962,1770976434.862885
173,54.317,55.968,1770976434.918854
174,57.305,59.004,1770976434.977858
175,56.014,58.020,1770976435.035878
176,52.106,53.980,1770976435.089858
177,54.123,55.974,1770976435.145832
178,49.525,51.144,1770976435.196976
179,80.048,81.906,1770976435.278882
180,75.164,78.075,1770976435.356957
181,71.941,74.875,1770976435.431832
182,55.346,58.263,1770976435.490095
183,53.634,58.824,1770976435.548919
184,53.972,55.968,1770976435.604887
185,70.118,71.915,1770976435.676803
186,78.228,81.055,1770976435.757858
187,77.193,80.002,1770976435.837860
188,76.146,79.174,1770976435.917034
189,53.659,56.814,1770976435.973848
190,51.387,52.940,1770976436.026788
191,53.418,55.061,1770976436.081849
192,73.668,75.343,1770976436.157192
193,53.236,56.731,1770976436.213923
194,54.209,55.988,1770976436.269910
195,55.263,56.913,1770976436.326823
196,68.374,70.071,1770976436.396894
197,83.859,86.905,1770976436.483799
198,72.450,75.364,1770976436.559163
199,80.766,83.725,1770976436.642888
200,71.772,74.976,1770976436.717863
201,52.016,55.037,1770976436.772901
202,55.204,57.017,1770976436.829917
203,54.064,55.846,1770976436.885763
204,76.065,78.156,1770976436.963919
205,71.228,74.268,1770976437.038187
206,51.278,54.723,1770976437.092909
207,55.008,56.987,1770976437.149896
208,54.003,56.090,1770976437.205985
209,69.054,70.868,1770976437.276854
210,55.048,58.020,1770976437.334873
211,55.170,56.917,1770976437.391790
212,56.359,58.120,1770976437.449911
213,53.617,55.937,1770976437.505848
214,55.180,57.088,1770976437.562937
215,53.438,55.389,1770976437.618325
216,55.867,59.628,1770976437.677953
217,57.827,59.828,1770976437.737781
218,55.371,57.108,1770976437.794888
219,63.672,65.960,1770976437.860849
220,53.899,56.958,1770976437.917807
221,54.199,56.070,1770976437.973877
222,54.163,55.965,1770976438.029842
223,54.230,56.051,1770976438.085893
224,56.941,59.082,1770976438.144975
225,51.133,53.193,1770976438.198168
226,52.725,54.675,1770976438.252843
227,56.226,57.945,1770976438.310788
228,52.446,54.204,1770976438.364991
229,53.957,55.894,1770976438.420885
230,54.218,55.931,1770976438.476816
231,54.254,56.084,1770976438.532901
232,56.268,57.943,1770976438.590844
233,52.497,54.262,1770976438.645106
234,55.896,57.715,1770976438.702821
235,58.177,59.992,1770976438.762813
