frame,latency_ms,jitter_ms,size_bytes,timestamp_unix
0,337.4534,337.4534,43424,1770975004.818
1,437.6755,100.2221,43551,1770975004.95
2,464.2844,26.6089,43652,1770975005.012
3,538.4026,74.1181,43331,1770975005.118
4,584.7318,46.3293,43352,1770975005.196
5,563.7050,21.0268,43200,1770975005.211
6,544.6889,19.0160,42940,1770975005.224
7,600.7826,56.0937,42815,1770975005.312
8,583.7038,17.0789,42684,1770975005.331
9,557.7276,25.9762,42460,1770975005.337
10,585.7618,28.0342,42365,1770975005.397
11,566.7453,19.0165,42061,1770975005.414
12,559.6945,7.0508,42076,1770975005.439
13,539.7630,19.9316,41689,1770975005.451
14,515.6405,24.1225,41608,1770975005.463
15,494.6454,20.9951,41649,1770975005.474
16,516.7270,22.0816,41309,1770975005.528
17,496.4437,20.2832,41257,1770975005.544
18,480.5696,15.8741,41193,1770975005.56
19,477.7761,2.7936,40953,1770975005.589
20,472.7507,5.0254,40941,1770975005.62
21,481.7386,8.9879,40808,1770975005.661
22,456.7544,24.9841,40744,1770975005.672
23,444.7181,12.0363,40577,1770975005.692
24,422.7643,21.9538,40533,1770975005.702
25,412.6618,10.1025,40305,1770975005.728
26,386.7328,25.9290,40345,1770975005.734
27,359.7927,26.9401,40424,1770975005.739
28,334.7659,25.0268,40257,1770975005.75
29,312.3820,22.3839,40109,1770975005.76
30,319.7742,7.3922,40253,1770975005.799
31,294.7130,25.0611,39937,1770975005.81
32,306.7558,12.0428,39945,1770975005.854
33,293.7651,12.9907,39861,1770975005.873
34,263.7224,30.0426,39756,1770975005.879
35,235.6987,28.0237,39661,1770975005.883
36,210.7940,24.9047,39737,1770975005.89
37,193.7301,17.0639,39621,1770975005.909
38,167.5060,26.2241,39613,1770975005.915
39,139.7846,27.7214,39573,1770975005.919
40,113.7707,26.0139,39577,1770975005.929
41,103.7357,10.0350,39689,1770975005.951
42,79.7482,23.9875,39593,1770975005.959
43,61.7535,17.9946,39532,1770975005.977
44,52.7599,8.9936,39469,1770975006
45,69.7849,17.0250,39453,1770975006.049
46,72.7620,2.9771,39453,1770975006.088
47,105.7217,32.9597,39447,1770975006.153
48,82.7744,22.9473,39444,1770975006.162
49,53.7138,29.0606,39429,1770975006.169
50,81.7401,28.0263,39385,1770975006.229
51,61.7597,19.9804,39205,1770975006.241
52,113.3525,51.5928,39176,1770975006.329
53,91.7463,21.6062,39261,1770975006.339
54,61.7359,30.0105,39161,1770975006.345
55,114.7456,53.0097,39092,1770975006.43
56,102.7942,11.9514,39149,1770975006.45
57,78.4328,24.3614,39049,1770975006.462
58,68.7187,9.7141,38949,1770975006.484
59,95.7720,27.0534,39089,1770975006.543
60,66.7510,29.0210,38993,1770975006.55
61,63.7391,3.0119,38977,1770975006.579
62,92.7820,29.0430,38885,1770975006.64
63,65.7542,27.0278,38917,1770975006.649
64,62.7680,2.9862,38877,1770975006.678
65,65.8145,3.0465,38944,1770975006.713
66,54.6722,11.1423,38869,1770975006.738
67,93.7104,39.0382,38885,1770975006.809
68,79.8035,13.9070,38924,1770975006.827
69,59.7610,20.0424,38985,1770975006.843
70,112.0899,52.3288,38877,1770975006.928
71,85.4154,26.6745,38893,1770975006.933
72,147.7346,62.3193,38881,1770975007.031
73,120.7404,26.9942,38933,1770975007.036
74,95.7325,25.0080,39036,1770975007.043
75,109.7574,14.0250,38908,1770975007.093
76,112.7360,2.9786,38857,1770975007.128
77,89.7803,22.9557,38825,1770975007.137
78,58.7437,31.0366,38921,1770975007.142
79,64.7564,6.0127,38749,1770975007.18
80,51.7321,13.0243,38885,1770975007.199
81,54.7178,2.9857,38821,1770975007.238
82,53.7174,1.0004,38889,1770975007.269
83,58.5670,4.8497,38865,1770975007.31
84,65.3927,6.8257,38761,1770975007.349
85,74.7011,9.3083,38885,1770975007.39
86,87.6801,12.9790,38801,1770975007.439
87,67.7450,19.9351,38773,1770975007.451
88,53.3724,14.3726,38761,1770975007.469
89,58.4435,5.0712,38768,1770975007.51
90,45.7721,12.6715,38821,1770975007.529
91,54.7836,9.0115,38636,1770975007.57
92,41.4178,13.3657,38741,1770975007.593
93,64.3528,22.9349,38757,1770975007.648
94,59.4909,4.8618,38741,1770975007.677
95,59.4471,0.0439,38685,1770975007.711
96,49.4471,10.0000,38793,1770975007.734
97,54.9400,5.4929,38741,1770975007.773
98,41.4181,13.5219,38665,1770975007.793
99,53.5388,12.1207,38705,1770975007.838
100,62.7720,9.2332,38758,1770975007.881
101,59.3231,3.4490,38826,1770975007.911
102,62.3639,3.0408,38742,1770975007.948
103,65.0403,2.6765,38730,1770975007.984
104,48.7416,16.2988,38784,1770975008.001
105,84.1691,35.4276,38762,1770975008.07
106,62.8197,21.3494,38846,1770975008.082
107,126.9763,64.1565,38754,1770975008.18
108,105.0680,21.9083,38762,1770975008.192
109,80.5376,24.5304,38729,1770975008.201
