frame,latency_ms,jitter_ms,size_bytes,timestamp_unix
0,337.9560,337.9560,42712,1770974704.979
1,409.8945,71.9385,42916,1770974705.082
2,464.1061,54.2116,43184,1770974705.172
3,474.3152,10.2091,43168,1770974705.214
4,503.3376,29.0225,43134,1770974705.275
5,484.3199,19.0177,43084,1770974705.292
6,540.2913,55.9714,43136,1770974705.38
7,541.3313,1.0400,43216,1770974705.413
8,515.5978,25.7335,43156,1770974705.424
9,505.6789,9.9189,43144,1770974705.446
10,521.3408,15.6620,43197,1770974705.493
11,535.2709,13.9301,43225,1770974705.543
12,525.2192,10.0517,43189,1770974705.565
13,503.3495,21.8697,43233,1770974705.575
14,487.2918,16.0577,43101,1770974705.595
15,467.2506,20.0412,43177,1770974705.607
16,445.3182,21.9324,43217,1770974705.617
17,435.3054,10.0129,43121,1770974705.643
18,428.2858,7.0195,43101,1770974705.668
19,404.3117,23.9742,43016,1770974705.676
20,409.2777,4.9660,43167,1770974705.717
21,405.3156,3.9620,43129,1770974705.745
22,403.2791,2.0366,43133,1770974705.775
23,386.2777,17.0014,43117,1770974705.794
24,363.2832,22.9945,43189,1770974705.803
25,337.2679,26.0153,43101,1770974705.813
26,324.2791,12.9888,43141,1770974705.832
27,303.3035,20.9756,43120,1770974705.843
28,279.3064,23.9971,43105,1770974705.855
29,283.3121,4.0057,43049,1770974705.891
30,294.3416,11.0295,43248,1770974705.934
31,267.2904,27.0512,43173,1770974705.943
32,253.3031,13.9873,43165,1770974705.961
33,228.3237,24.9794,43157,1770974705.968
34,201.3352,26.9885,43269,1770974705.977
35,185.9314,15.4037,43185,1770974705.994
36,164.8009,21.1306,43177,1770974706.005
37,146.2564,18.5444,43057,1770974706.022
38,126.3063,19.9502,43153,1770974706.034
39,104.2984,22.0079,43177,1770974706.044
40,86.1211,18.1773,43145,1770974706.062
41,73.8120,12.3091,43197,1770974706.082
42,51.9333,21.8787,43153,1770974706.092
43,55.3012,3.3679,43189,1770974706.131
44,46.6967,8.6045,43260,1770974706.155
45,61.7347,15.0380,43157,1770974706.202
46,58.2404,3.4943,43281,1770974706.234
47,73.7739,15.5334,43301,1770974706.282
48,63.3280,10.4458,43257,1770974706.303
49,58.1450,5.1830,43221,1770974706.334
50,86.2110,28.0659,43257,1770974706.394
51,63.2348,22.9762,43260,1770974706.403
52,54.7523,8.4825,43221,1770974706.431
53,68.2411,13.4888,43193,1770974706.476
54,62.3116,5.9295,43252,1770974706.506
55,50.2529,12.0587,43265,1770974706.526
56,105.3107,55.0578,43237,1770974706.613
57,73.2994,32.0113,43261,1770974706.617
58,125.2897,51.9903,43196,1770974706.701
59,123.2812,2.0084,43185,1770974706.731
60,91.2726,32.0086,43220,1770974706.735
61,114.2888,23.0162,43265,1770974706.79
62,105.3455,8.9433,43172,1770974706.813
63,90.2596,15.0859,43193,1770974706.834
64,70.3146,19.9449,43188,1770974706.846
65,103.7073,33.3927,43165,1770974706.912
66,80.2093,23.4981,43209,1770974706.924
67,76.7932,3.4161,43233,1770974706.953
68,113.3454,36.5522,43129,1770974707.021
69,82.2513,31.0941,43177,1770974707.026
70,69.3102,12.9411,43129,1770974707.045
71,83.3490,14.0388,43189,1770974707.091
72,90.2269,6.8779,43169,1770974707.134
73,69.3181,20.9088,43129,1770974707.145
74,77.2915,7.9734,43148,1770974707.185
75,71.2931,5.9984,43201,1770974707.215
76,56.3262,14.9670,43217,1770974707.232
77,63.3264,7.0002,43089,1770974707.271
78,56.3111,7.0152,43057,1770974707.3
79,66.3216,10.0105,43116,1770974707.342
80,46.8323,19.4893,43205,1770974707.355
81,87.3117,40.4794,43157,1770974707.431
82,60.3182,26.9935,43101,1770974707.436
83,63.2861,2.9678,43105,1770974707.475
84,49.3133,13.9728,43173,1770974707.493
85,47.3340,1.9794,43141,1770974707.523
86,73.2892,25.9552,43189,1770974707.585
87,52.2299,21.0593,43209,1770974707.596
88,111.2967,59.0668,43136,1770974707.687
89,88.3098,22.9869,43164,1770974707.7
90,70.6916,17.6182,43156,1770974707.715
91,107.2958,36.6042,43217,1770974707.783
92,102.2553,5.0404,43221,1770974707.814
93,81.2738,20.9816,43233,1770974707.825
94,150.3232,69.0494,43205,1770974707.926
95,130.3098,20.0133,43229,1770974707.942
96,110.2870,20.0229,43185,1770974707.954
97,177.3505,67.0636,43248,1770974708.053
98,147.9323,29.4182,43237,1770974708.06
99,123.2536,24.6787,43220,1770974708.067
100,101.3234,21.9302,43194,1770974708.077
101,122.9105,21.5871,43233,1770974708.135
102,121.2971,1.6134,43230,1770974708.165
103,96.3149,24.9822,43182,1770974708.172
104,70.2724,26.0425,43177,1770974708.182
105,107.2550,36.9825,43186,1770974708.251
106,86.3547,20.9002,43105,1770974708.262
107,64.7588,21.5960,43154,1770974708.277
108,112.3049,47.5461,43150,1770974708.356
109,94.3327,17.9722,43242,1770974708.37
110,65.2864,29.0463,43170,1770974708.377
111,59.2759,6.0105,43122,1770974708.403
112,57.3003,1.9755,43190,1770974708.433
113,42.3367,14.9636,43241,1770974708.454
114,58.3293,15.9926,43166,1770974708.502
115,55.2993,3.0301,43190,1770974708.535
116,42.2254,13.0739,43270,1770974708.554
117,64.3370,22.1117,43154,1770974708.608
118,42.2881,22.0490,43198,1770974708.622
119,60.2572,17.9691,43154,1770974708.672
120,63.2777,3.0205,43228,1770974708.707
121,47.2689,16.0089,43102,1770974708.727
122,78.2828,31.0140,43254,1770974708.79
123,56.2608,22.0220,43254,1770974708.8
124,100.2824,44.0216,43178,1770974708.88
125,89.2901,10.9923,43194,1770974708.901
126,76.1671,13.1230,43190,1770974708.921
127,95.2528,19.0856,43254,1770974708.975
128,83.9500,11.3027,43226,1770974708.996
129,63.5097,20.4403,43217,1770974709.01
130,63.6754,0.1657,43326,1770974709.044
131,46.6692,17.0062,43334,1770974709.06
132,45.7039,0.9654,43278,1770974709.093
133,67.1556,21.4517,43249,1770974709.148
134,76.9191,9.7635,43330,1770974709.192
135,61.1196,15.7995,43361,1770974709.21
136,102.1328,41.0132,43365,1770974709.285
137,75.6543,26.4785,43334,1770974709.292
138,87.9765,12.3222,43362,1770974709.338
139,84.0111,3.9654,43330,1770974709.368
140,76.3662,7.6449,43270,1770974709.394
141,56.4568,19.9094,43274,1770974709.408
142,68.5103,12.0535,43330,1770974709.454
143,50.4770,18.0333,43278,1770974709.47
144,70.6348,20.1578,43262,1770974709.524
145,49.6137,21.0211,43265,1770974709.536
146,61.1603,11.5466,43334,1770974709.581
147,59.9210,1.2393,43306,1770974709.614
148,50.9133,9.0077,43170,1770974709.638
149,51.3675,0.4542,43396,1770974709.672
150,45.2766,6.0909,43338,1770974709.699
151,61.7454,16.4688,43314,1770974709.75
152,61.1477,0.5977,43296,1770974709.783
153,62.0415,0.8938,43225,1770974709.817
154,61.0688,0.9727,43302,1770974709.85
155,48.8920,12.1768,43266,1770974709.871
156,52.6562,3.7642,43178,1770974709.91
157,75.1050,22.4488,43322,1770974709.965
158,61.0056,14.0994,43341,1770974709.985
159,72.1531,11.1475,43198,1770974710.03
160,66.2088,5.9443,43330,1770974710.058
161,92.2661,26.0572,43278,1770974710.119
162,77.3182,14.9479,43350,1770974710.138
163,94.6970,17.3788,43378,1770974710.189
164,100.2796,5.5826,43437,1770974710.228
165,172.5309,72.2513,43462,1770974710.334
166,145.0374,27.4935,43458,1770974710.341
167,124.3308,20.7067,43421,1770974710.354
168,145.0384,20.7076,43506,1770974710.408
169,152.0939,7.0555,43470,1770974710.449
170,134.0463,18.0476,43406,1770974710.464
171,116.4057,17.6406,43493,1770974710.48
172,132.0982,15.6925,43334,1770974710.529
173,130.1289,1.9693,43342,1770974710.561
