frame,latency_ms,jitter_ms,size_bytes,timestamp_unix
1,391.9594,391.9594,40620,1770975216.008
2,408.7617,16.8023,40689,1770975216.065
3,378.1800,30.5817,40837,1770975216.075
4,350.4145,27.7655,40844,1770975216.082
5,342.6237,7.7908,40897,1770975216.114
6,318.7568,23.8669,40813,1770975216.13
7,294.9491,23.8078,40789,1770975216.146
8,291.0812,3.8679,40973,1770975216.182
9,286.1581,4.9231,40973,1770975216.217
10,285.2795,0.8786,40885,1770975216.256
11,290.3426,5.0631,40861,1770975216.301
12,298.4898,8.1472,40894,1770975216.349
13,284.6076,13.8822,41054,1770975216.375
14,284.7404,0.1328,40969,1770975216.415
15,286.8805,2.1400,40973,1770975216.457
16,287.8511,0.9706,41054,1770975216.498
17,281.9417,5.9094,40978,1770975216.532
18,291.0640,9.1224,41050,1770975216.581
19,298.2183,7.1542,40966,1770975216.628
20,296.4530,1.7653,40946,1770975216.666
21,294.4236,2.0294,40910,1770975216.704
22,323.5588,29.1352,40814,1770975216.773
23,295.6874,27.8714,40873,1770975216.785
24,286.8230,8.8644,40582,1770975216.816
25,279.9096,6.9134,40450,1770975216.849
26,295.7857,15.8761,40058,1770975216.906
27,289.9930,5.7926,39802,1770975216.94
28,291.1491,1.1561,39618,1770975216.981
29,282.2683,8.8809,39857,1770975217.008
30,282.4409,0.1726,39862,1770975217.048
31,297.5731,15.1322,39918,1770975217.103
32,283.7982,13.7749,39634,1770975217.129
33,285.0528,1.2546,39510,1770975217.17
34,283.2105,1.8423,39406,1770975217.208
35,282.0218,1.1888,39530,1770975217.247
36,283.9324,1.9107,39525,1770975217.289
37,282.1386,1.7939,39386,1770975217.327
38,280.3895,1.7490,39405,1770975217.365
39,303.9045,23.5150,39414,1770975217.429
40,280.9503,22.9542,39550,1770975217.447
41,282.5685,1.6181,39489,1770975217.489
42,282.8314,0.2630,39465,1770975217.529
43,303.0469,20.2155,39374,1770975217.589
44,290.1700,12.8770,39502,1770975217.616
45,284.3614,5.8086,39462,1770975217.65
46,281.4708,2.8906,39514,1770975217.687
47,281.6811,0.2103,39550,1770975217.727
48,284.7707,3.0897,39562,1770975217.77
49,302.9032,18.1324,39546,1770975217.828
50,283.0884,19.8147,39425,1770975217.848
51,289.1912,6.1028,39670,1770975217.894
52,293.4184,4.2272,39393,1770975217.938
53,284.5747,8.8437,39554,1770975217.969
54,292.1298,7.5550,39394,1770975218.013
55,285.1326,6.9971,39382,1770975218.047
56,285.7823,0.6497,39490,1770975218.088
57,287.0407,1.2584,39326,1770975218.129
58,288.6844,1.6437,39445,1770975218.171
59,285.1634,3.5210,39394,1770975218.209
