frame,latency_ms,jitter_ms,size_bytes,timestamp_unix
1,391.9537,391.9537,39789,1770974478.36
2,365.1659,26.7878,39940,1770974478.373
3,385.7057,20.5398,39937,1770974478.429
4,357.3163,28.3895,39997,1770974478.441
5,378.4583,21.1420,40003,1770974478.502
6,349.6034,28.8548,40021,1770974478.513
7,325.6755,23.9279,39957,1770974478.529
8,338.8054,13.1299,39997,1770974478.582
9,308.0101,30.7953,40068,1770974478.591
10,301.1599,6.8502,40050,1770974478.624
11,289.1622,11.9977,40070,1770974478.652
12,297.2941,8.1320,40037,1770974478.7
13,297.2040,0.0901,39993,1770974478.74
14,297.3280,0.1240,39964,1770974478.78
15,294.4229,2.9051,39981,1770974478.817
16,288.4846,5.9383,40038,1770974478.851
17,284.6756,3.8090,40010,1770974478.887
18,281.7192,2.9564,39970,1770974478.924
19,288.8823,7.1630,40098,1770974478.971
20,305.0539,16.1717,39937,1770974479.027
21,286.1733,18.8806,39922,1770974479.048
22,300.4131,14.2398,39965,1770974479.102
23,288.6198,11.7934,40142,1770974479.13
24,289.6614,1.0417,40022,1770974479.171
25,287.7827,1.8787,40022,1770974479.209
26,298.8975,11.1148,39970,1770974479.26
27,306.0637,7.1661,39962,1770974479.307
28,302.2864,3.7773,39986,1770974479.343
29,304.7879,2.5015,39970,1770974479.381
30,303.6449,1.1430,40026,1770974479.42
31,294.6651,8.9798,39966,1770974479.452
32,295.6891,1.0240,40033,1770974479.493
33,288.8448,6.8443,40022,1770974479.526
34,283.8018,5.0430,39986,1770974479.562
35,304.9257,21.1239,39970,1770974479.623
36,302.1173,2.8083,39950,1770974479.66
37,301.3442,0.7732,39954,1770974479.699
38,305.6078,4.2636,40018,1770974479.743
39,301.7783,3.8295,40018,1770974479.779
40,310.7924,9.0141,40050,1770974479.828
41,289.7749,21.0176,40013,1770974479.847
42,299.9349,10.1600,40018,1770974479.897
43,294.1291,5.8057,40025,1770974479.931
44,285.2547,8.8744,40086,1770974479.962
45,300.4630,15.2082,40017,1770974480.017
46,300.6203,0.1574,39938,1770974480.057
47,302.7213,2.1009,40094,1770974480.099
48,301.8243,0.8969,39942,1770974480.138
49,306.9229,5.0986,39974,1770974480.183
50,284.1074,22.8155,40038,1770974480.2
51,290.2932,6.1858,39989,1770974480.246
52,294.5397,4.2465,40050,1770974480.29
53,294.6692,0.1295,40050,1770974480.33
54,296.3455,1.6763,40022,1770974480.368
55,285.2616,11.0838,40074,1770974480.398
56,283.3450,1.9166,40045,1770974480.437
57,290.8802,7.5352,40022,1770974480.485
58,303.6923,12.8121,40078,1770974480.538
59,292.7265,10.9658,40078,1770974480.567
60,294.8470,2.1205,39961,1770974480.609
61,301.7733,6.9263,40030,1770974480.656
62,292.9776,8.7957,40066,1770974480.687
63,298.1060,5.1284,40026,1770974480.732
64,304.1356,6.0296,40066,1770974480.778
65,296.3135,7.8220,40102,1770974480.81
66,287.5144,8.7991,40018,1770974480.841
67,287.2436,0.2708,40102,1770974480.881
68,304.2204,16.9768,40050,1770974480.938
69,291.2719,12.9485,40134,1770974480.966
70,297.4224,6.1505,40082,1770974481.012
71,298.5933,1.1709,40114,1770974481.053
72,287.6847,10.9086,40034,1770974481.082
73,292.7678,5.0831,40154,1770974481.127
74,300.9255,8.1577,40002,1770974481.175
75,287.5245,13.4010,40030,1770974481.202
76,284.6341,2.8903,40061,1770974481.24
77,300.8623,16.2282,40026,1770974481.296
